ticker,sequence_length,lookahead_period,scaling_factor,threshold,cumulative_return,sharpe_ratio,trade_count,total_cost,pred_return_std
7974.T,100,10,200,0.2,2.1938632452281848,13.70906503531758,486,0.007516473531723,0.0014181946990727
7203.T,20,10,200,0.2,1.8153170794069724,8.572567577174944,478,0.0186585509683936,0.0014353640901752
7974.T,100,10,200,0.1,1.7809628709193388,12.996956649479875,479,0.0048615117091685,0.0011498512946972
7203.T,100,10,200,0.05,1.4592347113787263,6.915961153861552,498,0.0102159993257373,0.0011922790326681
7974.T,50,10,200,0.1,1.4559296026699948,9.993055486455146,483,0.0101307517150416,0.0009666984256322
7203.T,20,10,200,0.1,1.441978227088191,6.02799819154285,472,0.0175397086888551,0.0013590834155073
7974.T,100,10,100,0.1,1.4292562940797575,13.475751222743908,495,0.0044683448621071,0.001301199846702
7974.T,50,10,100,0.2,1.417173425466408,13.265823884966336,452,0.0126428053714334,0.0012570361493503
7974.T,50,10,100,0.05,1.402547110514348,12.113880148483576,493,0.0033197904820553,0.0014142942034619
7974.T,20,10,200,0.05,1.3793082313231817,8.824160012143277,490,0.0149952685693278,0.0009582574134125
9984.T,100,10,100,0.05,1.3744325594934357,8.409814848394635,505,0.006377704674378,0.0020035825234649
6861.T,100,10,200,0.05,1.323148381518828,8.530859317424355,498,0.0141823201440274,0.0010155776508337
7974.T,20,10,100,0.05,1.3022555352420118,11.887000247911628,493,0.0108145400881767,0.0014546337823564
7203.T,100,10,200,0.2,1.29874955967061,5.926564169790571,421,0.0100783731322735,0.0010314515970321
7203.T,20,10,200,0.05,1.296423354511015,5.108356476969725,506,0.0187108065467327,0.0011387233890868
8035.T,50,10,100,0.2,1.2779789315835337,8.842669375446587,316,0.0197363089770078,0.0013404241886078
6861.T,20,10,200,0.05,1.2651818691923655,9.448776593555364,502,0.0106381094083189,0.0008242152182163
6861.T,50,10,200,0.2,1.2554138333045026,6.687393725340896,366,0.0132121188566088,0.0009968580151285
7203.T,100,10,100,0.2,1.2440110081023217,7.875159320375511,307,0.0110508454032242,0.0012434218492409
8306.T,100,10,200,0.05,1.2431185658083053,9.307911187207402,495,0.017371431691572,0.0012142220187674
